Epoch 4 Batch 2600 Loss 3.1708
Epoch 4 Batch 2700 Loss 3.5303
Epoch 4 Batch 2800 Loss 3.1897
Epoch 4 Batch 2900 Loss 3.1075
Epoch 4 Batch 3000 Loss 3.4623
Epoch 4 Batch 3100 Loss 3.1168
Epoch 4 Batch 3200 Loss 3.2586
Epoch 4 Batch 3300 Loss 2.9772
Epoch 4 Batch 3400 Loss 3.2743
Epoch 4 Batch 3500 Loss 3.5827
Epoch 4 Batch 3600 Loss 3.1438
Epoch 4 Batch 3700 Loss 3.4681
Epoch 4 Batch 3800 Loss 3.1201
Epoch 4 Batch 3900 Loss 3.0604
Epoch 4 Batch 4000 Loss 3.1517
Epoch 4 Batch 4100 Loss 3.2487
Epoch 4 Batch 4200 Loss 3.0794
Epoch 4 Batch 4300 Loss 3.5651
Epoch 4 Batch 4400 Loss 3.4724
Epoch 4 Batch 4500 Loss 3.2359
Epoch 4 Batch 4600 Loss 2.8949
Epoch 4 Batch 4700 Loss 3.5583
Epoch 4 Batch 4800 Loss 3.0166
Epoch 4 Batch 4900 Loss 3.0081
Epoch 4 Batch 5000 Loss 3.4290
Epoch 4 Batch 5100 Loss 3.2861
Epoch 4 Loss 3.2810
Time taken for 1 epoch 562.2661650180817 sec

Epoch 5 Batch 0 Loss 3.2047
Epoch 5 Batch 100 Loss 3.1559
Epoch 5 Batch 200 Loss 3.0843
Epoch 5 Batch 300 Loss 3.1814
Epoch 5 Batch 400 Loss 3.1938
Epoch 5 Batch 500 Loss 3.2495
Epoch 5 Batch 600 Loss 3.1058
Epoch 5 Batch 700 Loss 3.3397
Epoch 5 Batch 800 Loss 3.4248
Epoch 5 Batch 900 Loss 3.5020
Epoch 5 Batch 1000 Loss 3.3557
Epoch 5 Batch 1100 Loss 3.3105
Epoch 5 Batch 1200 Loss 3.4606
Epoch 5 Batch 1300 Loss 3.1468
Epoch 5 Batch 1400 Loss 2.9796
Epoch 5 Batch 1500 Loss 3.2651
Epoch 5 Batch 1600 Loss 3.3356
Epoch 5 Batch 1700 Loss 3.2977
Epoch 5 Batch 1800 Loss 2.8954
Epoch 5 Batch 1900 Loss 3.5467
Epoch 5 Batch 2000 Loss 3.2282
Epoch 5 Batch 2100 Loss 3.1790
Epoch 5 Batch 2200 Loss 3.0395
Epoch 5 Batch 2300 Loss 3.6500
Epoch 5 Batch 2400 Loss 3.0531
Epoch 5 Batch 2500 Loss 3.4523
Epoch 5 Batch 2600 Loss 3.1349
Epoch 5 Batch 2700 Loss 3.4874
Epoch 5 Batch 2800 Loss 3.1540
Epoch 5 Batch 2900 Loss 3.0696
Epoch 5 Batch 3000 Loss 3.4083
Epoch 5 Batch 3100 Loss 3.0962
Epoch 5 Batch 3200 Loss 3.2314
Epoch 5 Batch 3300 Loss 2.9329
Epoch 5 Batch 3400 Loss 3.2581
Epoch 5 Batch 3500 Loss 3.5409
Epoch 5 Batch 3600 Loss 3.1079
Epoch 5 Batch 3700 Loss 3.4081
Epoch 5 Batch 3800 Loss 3.0873
Epoch 5 Batch 3900 Loss 3.0257
Epoch 5 Batch 4000 Loss 3.1267
Epoch 5 Batch 4100 Loss 3.1969
Epoch 5 Batch 4200 Loss 3.0362
Epoch 5 Batch 4300 Loss 3.5351
Epoch 5 Batch 4400 Loss 3.4228
Epoch 5 Batch 4500 Loss 3.2000
Epoch 5 Batch 4600 Loss 2.8613
Epoch 5 Batch 4700 Loss 3.5114
Epoch 5 Batch 4800 Loss 2.9761
Epoch 5 Batch 4900 Loss 2.9682
Epoch 5 Batch 5000 Loss 3.3799
Epoch 5 Batch 5100 Loss 3.2483
Epoch 5 Loss 3.2404
Time taken for 1 epoch 562.4147162437439 sec

Epoch 6 Batch 0 Loss 3.1497
Epoch 6 Batch 100 Loss 3.1225
Epoch 6 Batch 200 Loss 3.0566
Epoch 6 Batch 300 Loss 3.1355
Epoch 6 Batch 400 Loss 3.1425
Epoch 6 Batch 500 Loss 3.2437
Epoch 6 Batch 600 Loss 3.0637
Epoch 6 Batch 700 Loss 3.2958
Epoch 6 Batch 800 Loss 3.3886
Epoch 6 Batch 900 Loss 3.4418
Epoch 6 Batch 1000 Loss 3.3247
Epoch 6 Batch 1100 Loss 3.2696
Epoch 6 Batch 1200 Loss 3.3930
Epoch 6 Batch 1300 Loss 3.0845
Epoch 6 Batch 1400 Loss 2.9477
Epoch 6 Batch 1500 Loss 3.2283
Epoch 6 Batch 1600 Loss 3.2930
Epoch 6 Batch 1700 Loss 3.2630
Epoch 6 Batch 1800 Loss 2.8603
Epoch 6 Batch 1900 Loss 3.4825
Epoch 6 Batch 2000 Loss 3.1999
Epoch 6 Batch 2100 Loss 3.1363
Epoch 6 Batch 2200 Loss 2.9985
Epoch 6 Batch 2300 Loss 3.5925
Epoch 6 Batch 2400 Loss 3.0057
Epoch 6 Batch 2500 Loss 3.4161
Epoch 6 Batch 2600 Loss 3.1090
Epoch 6 Batch 2700 Loss 3.4461
Epoch 6 Batch 2800 Loss 3.1198
Epoch 6 Batch 2900 Loss 3.0281
Epoch 6 Batch 3000 Loss 3.3644
Epoch 6 Batch 3100 Loss 3.0833
Epoch 6 Batch 3200 Loss 3.2304
Epoch 6 Batch 3300 Loss 2.8723
Epoch 6 Batch 3400 Loss 3.2323
Epoch 6 Batch 3500 Loss 3.4942
Epoch 6 Batch 3600 Loss 3.0640
Epoch 6 Batch 3700 Loss 3.3385
Epoch 6 Batch 3800 Loss 3.0551
Epoch 6 Batch 3900 Loss 3.0077
Epoch 6 Batch 4000 Loss 3.1047
Epoch 6 Batch 4100 Loss 3.1448
Epoch 6 Batch 4200 Loss 3.0041
Epoch 6 Batch 4300 Loss 3.5049
Epoch 6 Batch 4400 Loss 3.4037
Epoch 6 Batch 4500 Loss 3.1622
Epoch 6 Batch 4600 Loss 2.8324
Epoch 6 Batch 4700 Loss 3.4675
Epoch 6 Batch 4800 Loss 2.9312
Epoch 6 Batch 4900 Loss 2.9196
Epoch 6 Batch 5000 Loss 3.3170
Epoch 6 Batch 5100 Loss 3.1895
Epoch 6 Loss 3.1988
Time taken for 1 epoch 562.5419943332672 sec

Epoch 7 Batch 0 Loss 3.1059
Epoch 7 Batch 100 Loss 3.0952
Epoch 7 Batch 200 Loss 2.9700
Epoch 7 Batch 300 Loss 3.0955
Epoch 7 Batch 400 Loss 3.1176
Epoch 7 Batch 500 Loss 3.1759
Epoch 7 Batch 600 Loss 3.0251
Epoch 7 Batch 700 Loss 3.2301
Epoch 7 Batch 800 Loss 3.3411
Epoch 7 Batch 900 Loss 3.3669
Epoch 7 Batch 1000 Loss 3.3183
Epoch 7 Batch 1100 Loss 3.2362
Epoch 7 Batch 1200 Loss 3.3248
Epoch 7 Batch 1300 Loss 3.0415
Epoch 7 Batch 1400 Loss 2.9102
Epoch 7 Batch 1500 Loss 3.1812
Epoch 7 Batch 1600 Loss 3.2441
Epoch 7 Batch 1700 Loss 3.2472
Epoch 7 Batch 1800 Loss 2.8271
Epoch 7 Batch 1900 Loss 3.4121
Epoch 7 Batch 2000 Loss 3.1698
Epoch 7 Batch 2100 Loss 3.0950
Epoch 7 Batch 2200 Loss 2.9532
Epoch 7 Batch 2300 Loss 3.5545
Epoch 7 Batch 2400 Loss 2.9359
Epoch 7 Batch 2500 Loss 3.3436
Epoch 7 Batch 2600 Loss 3.0774
Epoch 7 Batch 2700 Loss 3.4298
Epoch 7 Batch 2800 Loss 3.0787
Epoch 7 Batch 2900 Loss 2.9996
Epoch 7 Batch 3000 Loss 3.3186
Epoch 7 Batch 3100 Loss 3.0595
Epoch 7 Batch 3200 Loss 3.2086
Epoch 7 Batch 3300 Loss 2.8126
Epoch 7 Batch 3400 Loss 3.2006
Epoch 7 Batch 3500 Loss 3.4509
Epoch 7 Batch 3600 Loss 3.0456
Epoch 7 Batch 3700 Loss 3.2940
Epoch 7 Batch 3800 Loss 3.0188
Epoch 7 Batch 3900 Loss 2.9868
Epoch 7 Batch 4000 Loss 3.0852
Epoch 7 Batch 4100 Loss 3.0968
Epoch 7 Batch 4200 Loss 2.9896
Epoch 7 Batch 4300 Loss 3.4687
Epoch 7 Batch 4400 Loss 3.3592
Epoch 7 Batch 4500 Loss 3.1254
Epoch 7 Batch 4600 Loss 2.8035
Epoch 7 Batch 4700 Loss 3.4241
Epoch 7 Batch 4800 Loss 2.8995
Epoch 7 Batch 4900 Loss 2.8775
Epoch 7 Batch 5000 Loss 3.2857
Epoch 7 Batch 5100 Loss 3.1711
Epoch 7 Loss 3.1599
Time taken for 1 epoch 563.1406302452087 sec

Epoch 8 Batch 0 Loss 3.0673
Epoch 8 Batch 100 Loss 3.0481
Epoch 8 Batch 200 Loss 2.9101
Epoch 8 Batch 300 Loss 3.0745
Epoch 8 Batch 400 Loss 3.1014
Epoch 8 Batch 500 Loss 3.1330
Epoch 8 Batch 600 Loss 2.9908
Epoch 8 Batch 700 Loss 3.1765
Epoch 8 Batch 800 Loss 3.3091
Epoch 8 Batch 900 Loss 3.3174
Epoch 8 Batch 1000 Loss 3.2950
Epoch 8 Batch 1100 Loss 3.1914
Epoch 8 Batch 1200 Loss 3.2606
Epoch 8 Batch 1300 Loss 2.9884
Epoch 8 Batch 1400 Loss 2.8644
Epoch 8 Batch 1500 Loss 3.1749
Epoch 8 Batch 1600 Loss 3.2211
Epoch 8 Batch 1700 Loss 3.2193
Epoch 8 Batch 1800 Loss 2.7945
Epoch 8 Batch 1900 Loss 3.3444
Epoch 8 Batch 2000 Loss 3.1407
Epoch 8 Batch 2100 Loss 3.0622
Epoch 8 Batch 2200 Loss 2.9438
Epoch 8 Batch 2300 Loss 3.4816
Epoch 8 Batch 2400 Loss 2.9121
Epoch 8 Batch 2500 Loss 3.3348
Epoch 8 Batch 2600 Loss 3.0522
Epoch 8 Batch 2700 Loss 3.4069
Epoch 8 Batch 2800 Loss 3.0564
Epoch 8 Batch 2900 Loss 2.9672
Epoch 8 Batch 3000 Loss 3.2712
Epoch 8 Batch 3100 Loss 3.0239
Epoch 8 Batch 3200 Loss 3.1839
Epoch 8 Batch 3300 Loss 2.7896
Epoch 8 Batch 3400 Loss 3.1884
Epoch 8 Batch 3500 Loss 3.3678
Epoch 8 Batch 3600 Loss 3.0319
Epoch 8 Batch 3700 Loss 3.2278
Epoch 8 Batch 3800 Loss 3.0059
Epoch 8 Batch 3900 Loss 2.9659
Epoch 8 Batch 4000 Loss 3.0468
Epoch 8 Batch 4100 Loss 3.0653
Epoch 8 Batch 4200 Loss 2.9524
Epoch 8 Batch 4300 Loss 3.4305
Epoch 8 Batch 4400 Loss 3.3369
Epoch 8 Batch 4500 Loss 3.1008
Epoch 8 Batch 4600 Loss 2.7785
Epoch 8 Batch 4700 Loss 3.3643
Epoch 8 Batch 4800 Loss 2.8871
Epoch 8 Batch 4900 Loss 2.8565
Epoch 8 Batch 5000 Loss 3.2250
Epoch 8 Batch 5100 Loss 3.1333
Epoch 8 Loss 3.1221
Time taken for 1 epoch 562.1967585086823 sec

Epoch 9 Batch 0 Loss 3.0384
Epoch 9 Batch 100 Loss 3.0193
Epoch 9 Batch 200 Loss 2.8951
Epoch 9 Batch 300 Loss 3.0174
Epoch 9 Batch 400 Loss 3.0695
Epoch 9 Batch 500 Loss 3.0848
Epoch 9 Batch 600 Loss 2.9665
Epoch 9 Batch 700 Loss 3.1231
Epoch 9 Batch 800 Loss 3.2743
Epoch 9 Batch 900 Loss 3.2617
Epoch 9 Batch 1000 Loss 3.2787
Epoch 9 Batch 1100 Loss 3.1330
Epoch 9 Batch 1200 Loss 3.2362
Epoch 9 Batch 1300 Loss 2.9151
Epoch 9 Batch 1400 Loss 2.7849
Epoch 9 Batch 1500 Loss 3.1354
Epoch 9 Batch 1600 Loss 3.1657
Epoch 9 Batch 1700 Loss 3.1945
Epoch 9 Batch 1800 Loss 2.7641
Epoch 9 Batch 1900 Loss 3.3075
Epoch 9 Batch 2000 Loss 3.0948
Epoch 9 Batch 2100 Loss 3.0057
Epoch 9 Batch 2200 Loss 2.9301
Epoch 9 Batch 2300 Loss 3.4694
Epoch 9 Batch 2400 Loss 2.8723
Epoch 9 Batch 2500 Loss 3.2821
Epoch 9 Batch 2600 Loss 3.0294
Epoch 9 Batch 2700 Loss 3.3743
Epoch 9 Batch 2800 Loss 3.0227
Epoch 9 Batch 2900 Loss 2.9284
Epoch 9 Batch 3000 Loss 3.2210
Epoch 9 Batch 3100 Loss 3.0169
Epoch 9 Batch 3200 Loss 3.1790
Epoch 9 Batch 3300 Loss 2.7604
Epoch 9 Batch 3400 Loss 3.1526
Epoch 9 Batch 3500 Loss 3.3840
Epoch 9 Batch 3600 Loss 3.0348
Epoch 9 Batch 3700 Loss 3.4132
Epoch 9 Batch 3800 Loss 3.0924
Epoch 9 Batch 3900 Loss 3.0034
Epoch 9 Batch 4000 Loss 3.0942
Epoch 9 Batch 4100 Loss 3.1226
Epoch 9 Batch 4200 Loss 3.0079
Epoch 9 Batch 4300 Loss 3.4787
Epoch 9 Batch 4400 Loss 3.3801
Epoch 9 Batch 4500 Loss 3.1530
Epoch 9 Batch 4600 Loss 2.8245
Epoch 9 Batch 4700 Loss 3.4757
Epoch 9 Batch 4800 Loss 2.9403
Epoch 9 Batch 4900 Loss 3.0113
Epoch 9 Batch 5000 Loss 3.4636
Epoch 9 Batch 5100 Loss 3.2665
Epoch 9 Loss 3.1239
Time taken for 1 epoch 563.1092879772186 sec

Epoch 10 Batch 0 Loss 3.1681
Epoch 10 Batch 100 Loss 3.1428
Epoch 10 Batch 200 Loss 3.0244
Epoch 10 Batch 300 Loss 3.1524
Epoch 10 Batch 400 Loss 3.2033
Epoch 10 Batch 500 Loss 3.2409
Epoch 10 Batch 600 Loss 3.0998
Epoch 10 Batch 700 Loss 3.2909
Epoch 10 Batch 800 Loss 3.3754
Epoch 10 Batch 900 Loss 3.4662
Epoch 10 Batch 1000 Loss 3.3532
Epoch 10 Batch 1100 Loss 3.3060
Epoch 10 Batch 1200 Loss 3.4677
Epoch 10 Batch 1300 Loss 3.1225
Epoch 10 Batch 1400 Loss 2.9515
Epoch 10 Batch 1500 Loss 3.2483
Epoch 10 Batch 1600 Loss 3.2841
Epoch 10 Batch 1700 Loss 3.3046
Epoch 10 Batch 1800 Loss 2.8570
Epoch 10 Batch 1900 Loss 3.5454
Epoch 10 Batch 2000 Loss 3.1660
Epoch 10 Batch 2100 Loss 3.1092
Epoch 10 Batch 2200 Loss 2.9635
Epoch 10 Batch 2300 Loss 3.5498
Epoch 10 Batch 2400 Loss 3.0658
Epoch 10 Batch 2500 Loss 3.4249
Epoch 10 Batch 2600 Loss 3.1131
Epoch 10 Batch 2700 Loss 3.4129
Epoch 10 Batch 2800 Loss 3.0989
Epoch 10 Batch 2900 Loss 3.0733
Epoch 10 Batch 3000 Loss 3.3787
Epoch 10 Batch 3100 Loss 3.0590
Epoch 10 Batch 3200 Loss 3.2029
Epoch 10 Batch 3300 Loss 2.9210
Epoch 10 Batch 3400 Loss 3.2198
Epoch 10 Batch 3500 Loss 3.4966
Epoch 10 Batch 3600 Loss 3.0669
Epoch 10 Batch 3700 Loss 3.3349
Epoch 10 Batch 3800 Loss 3.0606
Epoch 10 Batch 3900 Loss 2.9424
Epoch 10 Batch 4000 Loss 3.0800
Epoch 10 Batch 4100 Loss 3.1193
Epoch 10 Batch 4200 Loss 3.0372
Epoch 10 Batch 4300 Loss 3.4668
Epoch 10 Batch 4400 Loss 3.3971
Epoch 10 Batch 4500 Loss 3.1280
Epoch 10 Batch 4600 Loss 2.8005
Epoch 10 Batch 4700 Loss 3.4821
Epoch 10 Batch 4800 Loss 2.9265
Epoch 10 Batch 4900 Loss 2.9537
Epoch 10 Batch 5000 Loss 3.3865
Epoch 10 Batch 5100 Loss 3.2280
Epoch 10 Loss 3.2117
Time taken for 1 epoch 562.4772717952728 sec

Epoch 11 Batch 0 Loss 3.1108
Epoch 11 Batch 100 Loss 3.0993
Epoch 11 Batch 200 Loss 2.9718
Epoch 11 Batch 300 Loss 3.0944
Epoch 11 Batch 400 Loss 3.1541
Epoch 11 Batch 500 Loss 3.1636
Epoch 11 Batch 600 Loss 3.0354
Epoch 11 Batch 700 Loss 3.2372
Epoch 11 Batch 800 Loss 3.3190
Epoch 11 Batch 900 Loss 3.4092
Epoch 11 Batch 1000 Loss 3.3296
